"","species","quad","year","totPsize","Gcov","NRquad"
"1","Sitanion hystrix","gzgz_19",1998,0.0564834109182386,0.0218560220979749,5
"2","Sitanion hystrix","gzgz_19",1999,0.0312327758730541,0.0180938219261416,3
"3","Sitanion hystrix","gzgz_19",2000,0.0814243975560016,0.017831960947572,23
"4","Sitanion hystrix","gzgz_19",2001,0.0361881155481803,0.00992156403471492,10
"5","Sitanion hystrix","gzgz_19",2002,0.0344567559828025,0.00905547860868748,0
"6","Sitanion hystrix","gzgz_19",2003,0.0040233197099227,0.00318901780779964,2
"7","Sitanion hystrix","gzgz_24",1998,0.0048196763615449,0.0218560220979749,1
"8","Sitanion hystrix","gzgz_24",1999,0.00394845181304801,0.0180938219261416,0
"9","Sitanion hystrix","gzgz_24",2002,0.00512391853392149,0.00905547860868748,0
"10","Sitanion hystrix","gzgz_7",1998,0.00244560097534957,0.0218560220979749,14
"11","Sitanion hystrix","gzgz_7",1999,0.0098055845105339,0.0180938219261416,1
"12","Sitanion hystrix","gzun_19",1998,0.0938276700416343,0.0218560220979749,1
"13","Sitanion hystrix","gzun_19",1999,0.0683010045396503,0.0180938219261416,4
"14","Sitanion hystrix","gzun_19",2000,0.0242278990392397,0.017831960947572,5
"15","Sitanion hystrix","gzun_19",2001,0.0110553007569551,0.00992156403471492,9
"16","Sitanion hystrix","gzun_19",2002,0.0292695749572706,0.00905547860868748,0
"17","Sitanion hystrix","gzun_19",2003,0.00303572874272407,0.00318901780779964,5
"18","Sitanion hystrix","gzun_19",2004,0.00194825495319776,0.00109559002448446,0
"19","Sitanion hystrix","gzun_24",1998,0.00306232584567387,0.0218560220979749,17
"20","Sitanion hystrix","gzun_24",1999,0.0127845729259549,0.0180938219261416,1
"21","Sitanion hystrix","gzun_24",2002,0.0155337635630326,0.00905547860868748,1
"22","Sitanion hystrix","gzun_7",1999,0.0080355567877388,0.0180938219261416,2
"23","Sitanion hystrix","gzun_7",2000,0.0135831348910588,0.017831960947572,0
"24","Sitanion hystrix","gzun_7",2001,0.0145046389372876,0.00992156403471492,2
"25","Sitanion hystrix","gzun_7",2004,0.000389709897919034,0.00109559002448446,1
"26","Sitanion hystrix","ungz_19",1998,0.011062841378106,0.0218560220979749,1
"27","Sitanion hystrix","ungz_19",2001,0.00116827234195887,0.00992156403471492,2
"28","Sitanion hystrix","ungz_24",1999,0.0107204324455362,0.0180938219261416,6
"29","Sitanion hystrix","ungz_7",1998,0.00354816408730284,0.0218560220979749,5
"30","Sitanion hystrix","ungz_7",1999,0.00454404591258067,0.0180938219261416,2
"31","Sitanion hystrix","ungz_7",2000,0.0033404500737394,0.017831960947572,0
"32","Sitanion hystrix","ungz_7",2001,0.000214057314090714,0.00992156403471492,1
"33","Sitanion hystrix","unun_19",1998,0.0174241450017437,0.0218560220979749,5
"34","Sitanion hystrix","unun_19",1999,0.0357169069157526,0.0180938219261416,1
"35","Sitanion hystrix","unun_19",2000,0.00158335836456233,0.017831960947572,4
"36","Sitanion hystrix","unun_19",2001,0.00465931020998502,0.00992156403471492,6
"37","Sitanion hystrix","unun_19",2002,0.0112200968168985,0.00905547860868748,0
"38","Sitanion hystrix","unun_19",2003,0.00184144425895745,0.00318901780779964,1
"39","Sitanion hystrix","unun_24",1999,0.00268744808017216,0.0180938219261416,0
"40","Sitanion hystrix","unun_7",1998,0.00403036427218074,0.0218560220979749,5
"41","Sitanion hystrix","unun_7",1999,0.0105686652933863,0.0180938219261416,2
