"","species","quad","year","totParea","Gcov","NRquad"
"1","Sporobolus asper","e1q2-4",58,394.157122257989,214.475964464124,3
"2","Sporobolus asper","e1q3a-3",58,90.9491092630041,214.475964464124,0
"3","Sporobolus asper","e1q4-1",42,10.6139025611275,59.1800876139676,0
"4","Sporobolus asper","e1q4-1",43,34.0939602186611,127.002496237431,0
"5","Sporobolus asper","e1q4-1",44,24.2403469579545,99.116014595114,0
"6","Sporobolus asper","e1q4-1",45,29.037646933288,84.4700835069938,0
"7","Sporobolus asper","e1q4-1",46,37.8756517241315,107.935352305781,0
"8","Sporobolus asper","e1q4-1",47,51.8424417568725,136.561989162181,0
"9","Sporobolus asper","e1q4-1",48,80.6698874626769,199.069608848475,0
"10","Sporobolus asper","e1q4-1",49,160.575880788443,229.637766352153,0
"11","Sporobolus asper","e1q4-1",50,108.466645818414,229.193794877211,0
"12","Sporobolus asper","e1q4-1",51,81.6893384308369,164.382113168243,1
"13","Sporobolus asper","e1q4-1",52,93.239151800269,160.110735986743,0
"14","Sporobolus asper","e1q4-1",53,181.748916393165,279.303106033549,0
"15","Sporobolus asper","e1q4-1",54,216.977284861531,332.234471245798,0
"16","Sporobolus asper","e1q4-1",55,181.10706659368,306.214858073728,0
"17","Sporobolus asper","e1q4-1",56,271.263447857606,371.222458831914,0
"18","Sporobolus asper","e1q4-1",57,204.295633906861,287.541530060776,0
"19","Sporobolus asper","e1q4-1",58,283.745907696871,214.475964464124,0
"20","Sporobolus asper","e1q4-1",59,122.417485432174,139.711484430834,0
"21","Sporobolus asper","e1q4-1",60,202.050469601933,236.45507991738,0
"22","Sporobolus asper","e1q4-1",61,107.350281174908,120.276249692249,0
"23","Sporobolus asper","e1q4-1",65,48.1627405798305,130.77724025217,1
"24","Sporobolus asper","e1q4-1",66,196.665165936985,98.1425683012999,0
"25","Sporobolus asper","e1q4-1",67,127.161301919707,89.4180040143396,0
"26","Sporobolus asper","e1q4-2",37,5.6095651395475,19.2172000694357,0
"27","Sporobolus asper","e1q4-2",38,26.8697817087835,81.8260723869729,0
"28","Sporobolus asper","e1q4-2",41,59.2399073740853,74.3300217945539,0
"29","Sporobolus asper","e1q4-2",42,57.390935645621,59.1800876139676,0
"30","Sporobolus asper","e1q4-2",43,43.8178668611881,127.002496237431,0
"31","Sporobolus asper","e1q4-2",44,124.262269352105,99.116014595114,0
"32","Sporobolus asper","e1q4-2",45,48.9466563796768,84.4700835069938,0
"33","Sporobolus asper","e1q4-2",46,65.4611656935976,107.935352305781,0
"34","Sporobolus asper","e1q4-2",47,55.5710284651618,136.561989162181,0
"35","Sporobolus asper","e1q4-2",48,86.2936382683805,199.069608848475,0
"36","Sporobolus asper","e1q4-2",49,75.3067488988014,229.637766352153,0
"37","Sporobolus asper","e1q4-2",50,73.5909138632791,229.193794877211,0
"38","Sporobolus asper","e1q4-2",51,100.515429080414,164.382113168243,0
"39","Sporobolus asper","e1q4-2",52,105.841185232893,160.110735986743,0
"40","Sporobolus asper","e1q4-2",53,121.893848319693,279.303106033549,0
"41","Sporobolus asper","e1q4-2",54,132.131070844104,332.234471245798,0
"42","Sporobolus asper","e1q4-2",55,82.6657452815412,306.214858073728,0
"43","Sporobolus asper","e1q4-2",56,104.257542398023,371.222458831914,0
"44","Sporobolus asper","e1q4-2",57,45.4286318210884,287.541530060776,0
"45","Sporobolus asper","e1q4-2",58,47.3291488844446,214.475964464124,0
"46","Sporobolus asper","e1q4a-1",37,27.990684597192,19.2172000694357,0
"47","Sporobolus asper","e1q4a-1",38,56.6750850250691,81.8260723869729,0
"48","Sporobolus asper","e1q4a-1",39,82.5628549940399,126.391518878329,0
"49","Sporobolus asper","e1q4a-1",40,72.5716918012881,138.408446090905,1
"50","Sporobolus asper","e1q4a-1",41,123.195621125945,74.3300217945539,0
"51","Sporobolus asper","e1q4a-1",42,116.124361861284,59.1800876139676,2
"52","Sporobolus asper","e1q4a-1",43,332.509773937353,127.002496237431,1
"53","Sporobolus asper","e1q4a-1",44,185.240685040561,99.116014595114,0
"54","Sporobolus asper","e1q4a-1",45,200.330943453533,84.4700835069938,0
"55","Sporobolus asper","e1q4a-1",46,102.787345474372,107.935352305781,1
"56","Sporobolus asper","e1q4a-1",47,119.201350142148,136.561989162181,0
"57","Sporobolus asper","e1q4a-1",48,156.300639578456,199.069608848475,0
"58","Sporobolus asper","e1q4a-1",49,288.766735042341,229.637766352153,0
"59","Sporobolus asper","e1q4a-1",50,179.783454435401,229.193794877211,0
"60","Sporobolus asper","e1q4a-1",51,159.055687186099,164.382113168243,0
"61","Sporobolus asper","e1q4a-1",54,178.205411366746,332.234471245798,1
"62","Sporobolus asper","e1q4a-1",55,210.169154566071,306.214858073728,0
"63","Sporobolus asper","e1q4a-1",56,134.124640399688,371.222458831914,0
"64","Sporobolus asper","e1q4a-1",57,47.3913835793221,287.541530060776,0
"65","Sporobolus asper","e1q4a-1",58,49.5318031416101,214.475964464124,0
"66","Sporobolus asper","e1q4a-1",61,86.3457081309436,120.276249692249,2
"67","Sporobolus asper","e1q5-1",36,48.268916049683,49.5658799676198,0
"68","Sporobolus asper","e1q5-1",37,19.9901218501145,19.2172000694357,2
"69","Sporobolus asper","e1q5-1",38,42.1449820102575,81.8260723869729,0
"70","Sporobolus asper","e1q5-1",39,104.214341852085,126.391518878329,0
"71","Sporobolus asper","e1q5-1",40,131.694547804212,138.408446090905,1
"72","Sporobolus asper","e1q5-1",41,41.137849791002,74.3300217945539,1
"73","Sporobolus asper","e1q5-1",42,16.637845938612,59.1800876139676,1
"74","Sporobolus asper","e1q5-1",43,2.6113105753265,127.002496237431,8
"75","Sporobolus asper","e1q5-1",44,82.910078967209,99.116014595114,2
"76","Sporobolus asper","e1q5-1",45,120.139583060316,84.4700835069938,1
"77","Sporobolus asper","e1q5-1",46,169.572087891811,107.935352305781,2
"78","Sporobolus asper","e1q5-1",47,279.161747900329,136.561989162181,0
"79","Sporobolus asper","e1q5-1",48,473.014270084388,199.069608848475,0
"80","Sporobolus asper","e1q5-1",49,388.804466331209,229.637766352153,2
"81","Sporobolus asper","e1q5-1",50,530.342250276463,229.193794877211,0
"82","Sporobolus asper","e1q5-1",51,427.205032937,164.382113168243,1
"83","Sporobolus asper","e1q5-1",52,293.703114481005,160.110735986743,3
"84","Sporobolus asper","e1q5-1",53,531.716475899355,279.303106033549,1
"85","Sporobolus asper","e1q5-1",54,705.421775618097,332.234471245798,2
"86","Sporobolus asper","e1q5-1",55,738.04976271771,306.214858073728,1
"87","Sporobolus asper","e1q5-1",56,1030.24474383101,371.222458831914,0
"88","Sporobolus asper","e1q5-1",57,756.823651992603,287.541530060776,1
"89","Sporobolus asper","e1q5-1",58,362.84051415702,214.475964464124,0
"90","Sporobolus asper","e1q5-1",59,510.24800571066,139.711484430834,0
"91","Sporobolus asper","e1q5-1",60,270.859690232827,236.45507991738,2
"92","Sporobolus asper","e1q5-1",61,192.52109180112,120.276249692249,1
"93","Sporobolus asper","e1q5-1",62,0.69750005,118.412787561259,11
"94","Sporobolus asper","e1q5-1",63,259.374695452207,248.561537270797,1
"95","Sporobolus asper","e1q5-1",64,53.2066955834815,38.6763960871423,2
"96","Sporobolus asper","e2q2-3",36,52.0198267890032,49.5658799676198,1
"97","Sporobolus asper","e2q2-3",37,13.428713862911,19.2172000694357,2
"98","Sporobolus asper","e2q2-3",38,125.872477242877,81.8260723869729,0
"99","Sporobolus asper","e2q2-3",39,186.330245951561,126.391518878329,0
"100","Sporobolus asper","e2q2-3",40,200.222499300217,138.408446090905,0
"101","Sporobolus asper","e2q2-3",41,12.1558647424255,74.3300217945539,0
"102","Sporobolus asper","e2q2-3",42,25.3785650190416,59.1800876139676,0
"103","Sporobolus asper","e2q2-3",43,20.6985389867115,127.002496237431,1
"104","Sporobolus asper","e2q2-3",44,89.2730045234007,99.116014595114,2
"105","Sporobolus asper","e2q2-3",45,100.871145839564,84.4700835069938,1
"106","Sporobolus asper","e2q2-3",46,135.304692128217,107.935352305781,0
"107","Sporobolus asper","e2q2-3",49,234.735000699974,229.637766352153,3
"108","Sporobolus asper","e2q2-3",50,253.785709992496,229.193794877211,0
"109","Sporobolus asper","e2q2-3",51,212.078429380232,164.382113168243,0
"110","Sporobolus asper","e2q2-3",52,246.339461207661,160.110735986743,0
"111","Sporobolus asper","e2q2-3",53,281.853183521984,279.303106033549,3
"112","Sporobolus asper","e2q2-3",54,428.436813538512,332.234471245798,0
"113","Sporobolus asper","e2q2-3",55,319.08256120964,306.214858073728,0
"114","Sporobolus asper","e2q2-3",56,316.221919673245,371.222458831914,0
"115","Sporobolus asper","e2q2-3",57,383.768349004005,287.541530060776,1
"116","Sporobolus asper","e2q2-3",58,272.778145847932,214.475964464124,0
"117","Sporobolus asper","e2q2-3",61,94.8879176620264,120.276249692249,1
"118","Sporobolus asper","e2q2-3",62,142.198335623841,118.412787561259,4
"119","Sporobolus asper","e2q2-3",63,237.748379089387,248.561537270797,0
"120","Sporobolus asper","e2q2-3",64,24.146096590803,38.6763960871423,2
"121","Sporobolus asper","e2q2-3",65,171.243606883792,130.77724025217,0
"122","Sporobolus asper","e2q2-3",66,74.5927064544526,98.1425683012999,0
"123","Sporobolus asper","e2q2-3",67,55.9576055142135,89.4180040143396,0
"124","Sporobolus asper","e2q2-3",68,11.027240488526,80.5222580094875,3
"125","Sporobolus asper","e2q2-4",36,19.7376693321587,49.5658799676198,0
"126","Sporobolus asper","e2q2-4",37,5.65982295929268,19.2172000694357,0
"127","Sporobolus asper","e2q2-4",38,78.1617924166505,81.8260723869729,0
"128","Sporobolus asper","e2q2-4",39,81.0276126542341,126.391518878329,0
"129","Sporobolus asper","e2q2-4",40,26.4325651315932,138.408446090905,0
"130","Sporobolus asper","e2q2-4",41,28.0980522436191,74.3300217945539,0
"131","Sporobolus asper","e2q2-4",44,76.5720057211267,99.116014595114,0
"132","Sporobolus asper","e2q2-4",45,7.49452537558574,84.4700835069938,0
"133","Sporobolus asper","e2qo-1",36,78.2371076996344,49.5658799676198,0
"134","Sporobolus asper","e2qo-1",37,42.6242920075566,19.2172000694357,0
"135","Sporobolus asper","e2qo-1",38,161.2323159182,81.8260723869729,0
"136","Sporobolus asper","e2qo-1",39,260.537162618478,126.391518878329,2
"137","Sporobolus asper","e2qo-1",40,261.120926417215,138.408446090905,3
"138","Sporobolus asper","e2qo-1",41,182.152835490246,74.3300217945539,0
"139","Sporobolus asper","e2qo-1",42,146.697502179636,59.1800876139676,1
"140","Sporobolus asper","e2qo-1",43,328.283526845347,127.002496237431,1
